Date,Time,CO(GT),PT08.S1(CO),NMHC(GT)
26/05/2004,11.00.00,1,8,1139
26/05/2004,12.00.00,1,6,1099
26/05/2004,13.00.00,1,8,1088
26/05/2004,14.00.00,1,6,1027
26/05/2004,15.00.00,1,6,1014
26/05/2004,16.00.00,1,3,969
26/05/2004,17.00.00,-200,1120,-200
26/05/2004,18.00.00,-200,1131,-200
26/05/2004,19.00.00,-200,1130,-200
26/05/2004,20.00.00,-200,1123,-200
26/05/2004,21.00.00,-200,1069,-200
26/05/2004,22.00.00,-200,1021,-200
26/05/2004,23.00.00,-200,1101,-200
27/05/2004,00.00.00,-200,1026,-200
27/05/2004,01.00.00,-200,949,-200
27/05/2004,02.00.00,-200,846,-200
27/05/2004,03.00.00,-200,811,-200
27/05/2004,04.00.00,-200,803,-200
27/05/2004,05.00.00,-200,882,-200
27/05/2004,06.00.00,-200,963,-200
27/05/2004,07.00.00,-200,1413,-200
27/05/2004,08.00.00,-200,1485,-200
27/05/2004,09.00.00,-200,1354,-200
27/05/2004,10.00.00,-200,1074,-200
27/05/2004,11.00.00,-200,1022,-200
27/05/2004,12.00.00,-200,1100,-200
27/05/2004,13.00.00,-200,1073,-200
27/05/2004,14.00.00,-200,1049,-200
27/05/2004,15.00.00,-200,1086,-200
27/05/2004,16.00.00,-200,1059,-200
27/05/2004,17.00.00,-200,1244,-200
27/05/2004,18.00.00,-200,1320,-200
27/05/2004,19.00.00,-200,1236,-200
27/05/2004,20.00.00,-200,1136,-200
27/05/2004,21.00.00,-200,1110,-200
27/05/2004,22.00.00,-200,1026,-200
27/05/2004,23.00.00,-200,1038,-200
28/05/2004,00.00.00,-200,975,-200
28/05/2004,01.00.00,-200,908,-200
28/05/2004,02.00.00,-200,896,-200
28/05/2004,03.00.00,-200,810,-200
28/05/2004,04.00.00,-200,789,-200
28/05/2004,05.00.00,-200,814,-200
28/05/2004,06.00.00,-200,958,-200
28/05/2004,07.00.00,-200,1213,-200
28/05/2004,08.00.00,-200,1221,-200
28/05/2004,09.00.00,-200,1245,-200
28/05/2004,10.00.00,-200,1050,-200
28/05/2004,11.00.00,-200,1048,-200
28/05/2004,12.00.00,-200,1141,-200
28/05/2004,13.00.00,-200,1052,-200
28/05/2004,14.00.00,-200,1152,-200
28/05/2004,15.00.00,1,7,1026
28/05/2004,16.00.00,1,7,1039
28/05/2004,17.00.00,2,1,1148
28/05/2004,18.00.00,2,2,1176
28/05/2004,19.00.00,1,8,1100
28/05/2004,20.00.00,1,8,1081
28/05/2004,21.00.00,0,9,976
28/05/2004,22.00.00,1,979,-200
28/05/2004,23.00.00,2,1092,-200
29/05/2004,00.00.00,1,8,1044
29/05/2004,01.00.00,1,1,940
29/05/2004,02.00.00,0,6,892
29/05/2004,03.00.00,0,3,838
29/05/2004,04.00.00,-200,853,-200
29/05/2004,05.00.00,-200,738,-200
29/05/2004,06.00.00,0,1,762
29/05/2004,07.00.00,0,5,841
29/05/2004,08.00.00,0,6,843
29/05/2004,09.00.00,0,5,841
29/05/2004,10.00.00,0,7,862
29/05/2004,11.00.00,0,7,869
29/05/2004,12.00.00,0,9,894
29/05/2004,13.00.00,0,7,844
29/05/2004,14.00.00,0,4,823
29/05/2004,15.00.00,0,5,843
29/05/2004,16.00.00,0,6,865
29/05/2004,17.00.00,0,6,873
29/05/2004,18.00.00,0,8,899
29/05/2004,19.00.00,1,921,-200
29/05/2004,20.00.00,1,2,937
29/05/2004,21.00.00,1,901,-200
29/05/2004,22.00.00,1,3,955
29/05/2004,23.00.00,2,7,1065
30/05/2004,00.00.00,2,7,1035
30/05/2004,01.00.00,1,6,956
30/05/2004,02.00.00,0,6,869
30/05/2004,03.00.00,0,3,831
30/05/2004,04.00.00,-200,815,-200
30/05/2004,05.00.00,0,1,781
30/05/2004,06.00.00,0,1,781
30/05/2004,07.00.00,0,2,828
30/05/2004,08.00.00,0,3,803
30/05/2004,09.00.00,0,3,811
30/05/2004,10.00.00,0,4,844
30/05/2004,11.00.00,0,3,833
30/05/2004,12.00.00,0,3,832
30/05/2004,13.00.00,0,1,771
30/05/2004,14.00.00,0,1,783
30/05/2004,15.00.00,0,2,815
30/05/2004,16.00.00,0,6,912
30/05/2004,17.00.00,0,5,894
30/05/2004,18.00.00,0,9,963
30/05/2004,19.00.00,1,1,990
30/05/2004,20.00.00,1,3,1025
30/05/2004,21.00.00,1,5,997
30/05/2004,22.00.00,1,2,976
30/05/2004,23.00.00,0,4,878
31/05/2004,00.00.00,0,2,836
31/05/2004,01.00.00,0,3,855
31/05/2004,02.00.00,-200,759,-200
31/05/2004,03.00.00,-200,738,-200
31/05/2004,04.00.00,-200,736,-200
31/05/2004,05.00.00,-200,765,-200
31/05/2004,06.00.00,0,5,909
31/05/2004,07.00.00,1,6,1108
31/05/2004,08.00.00,3,6,1252
31/05/2004,09.00.00,2,2,1175
31/05/2004,10.00.00,1,6,1111
31/05/2004,11.00.00,1,4,1044
31/05/2004,12.00.00,1,4,1018
31/05/2004,13.00.00,1,5,1060
31/05/2004,14.00.00,1,3,1071
31/05/2004,15.00.00,1,2,1006
31/05/2004,16.00.00,1,8,1104
31/05/2004,17.00.00,3,1196,-200
31/05/2004,18.00.00,3,5,1243
31/05/2004,19.00.00,2,4,1124
31/05/2004,20.00.00,1,1,1020
31/05/2004,21.00.00,0,8,1035
31/05/2004,22.00.00,0,4,986
31/05/2004,23.00.00,0,6,1017
01/06/2004,00.00.00,0,3,922
01/06/2004,01.00.00,-200,830,-200
01/06/2004,02.00.00,-200,805,-200
01/06/2004,03.00.00,-200,760,-200
01/06/2004,04.00.00,-200,783,-200
01/06/2004,05.00.00,0,1,854
01/06/2004,06.00.00,0,3,985
01/06/2004,07.00.00,1,4,1225
01/06/2004,08.00.00,2,7,1313
01/06/2004,09.00.00,2,3,1199
01/06/2004,10.00.00,1,8,1182
01/06/2004,11.00.00,1,6,1173
01/06/2004,12.00.00,1,9,1259
01/06/2004,13.00.00,2,5,1263
01/06/2004,14.00.00,1,6,1156
01/06/2004,15.00.00,1,5,1167
01/06/2004,16.00.00,2,5,1278
01/06/2004,17.00.00,3,6,1342
01/06/2004,18.00.00,3,5,1353
01/06/2004,19.00.00,4,8,1501
01/06/2004,20.00.00,3,7,1355
01/06/2004,21.00.00,2,1,1230
01/06/2004,22.00.00,1,6,1148
01/06/2004,23.00.00,2,2,1171
02/06/2004,00.00.00,0,8,1021
02/06/2004,01.00.00,-200,964,-200
02/06/2004,02.00.00,-200,887,-200
02/06/2004,03.00.00,-200,885,-200
02/06/2004,04.00.00,-200,830,-200
02/06/2004,05.00.00,-200,792,-200
02/06/2004,06.00.00,-200,813,-200
02/06/2004,07.00.00,-200,890,-200
02/06/2004,08.00.00,-200,984,-200
02/06/2004,09.00.00,-200,1043,-200
02/06/2004,10.00.00,-200,1054,-200
02/06/2004,11.00.00,-200,1063,-200
02/06/2004,12.00.00,-200,978,-200
02/06/2004,13.00.00,-200,887,-200
02/06/2004,14.00.00,-200,887,-200
02/06/2004,15.00.00,-200,977,-200
02/06/2004,16.00.00,-200,1043,-200
02/06/2004,17.00.00,-200,1010,-200
02/06/2004,18.00.00,-200,1094,-200
02/06/2004,19.00.00,-200,1223,-200
02/06/2004,20.00.00,-200,1109,-200
02/06/2004,21.00.00,-200,1026,-200
02/06/2004,22.00.00,-200,1036,-200
02/06/2004,23.00.00,-200,963,-200
03/06/2004,00.00.00,-200,996,-200
03/06/2004,01.00.00,-200,999,-200
03/06/2004,02.00.00,-200,893,-200
03/06/2004,03.00.00,-200,730,-200
03/06/2004,04.00.00,-200,753,-200
03/06/2004,05.00.00,-200,825,-200
03/06/2004,06.00.00,-200,1012,-200
03/06/2004,07.00.00,-200,1221,-200
03/06/2004,08.00.00,-200,1215,-200
03/06/2004,09.00.00,-200,1234,-200
03/06/2004,10.00.00,-200,1138,-200
03/06/2004,11.00.00,-200,987,-200
03/06/2004,12.00.00,-200,980,-200
03/06/2004,13.00.00,-200,966,-200
03/06/2004,14.00.00,-200,905,-200
03/06/2004,15.00.00,-200,903,-200
03/06/2004,16.00.00,-200,914,-200
03/06/2004,17.00.00,-200,1050,-200
03/06/2004,18.00.00,-200,1043,-200
03/06/2004,19.00.00,-200,1125,-200
03/06/2004,20.00.00,-200,1058,-200
03/06/2004,21.00.00,-200,951,-200
03/06/2004,22.00.00,-200,944,-200
03/06/2004,23.00.00,-200,959,-200
04/06/2004,00.00.00,-200,974,-200
04/06/2004,01.00.00,-200,880,-200
04/06/2004,02.00.00,-200,853,-200
04/06/2004,03.00.00,-200,912,-200
04/06/2004,04.00.00,-200,863,-200
04/06/2004,05.00.00,-200,729,-200
04/06/2004,06.00.00,-200,830,-200
04/06/2004,07.00.00,-200,1198,-200
04/06/2004,08.00.00,-200,971,-200
04/06/2004,09.00.00,-200,885,-200
04/06/2004,10.00.00,-200,862,-200
04/06/2004,11.00.00,-200,892,-200
04/06/2004,12.00.00,-200,933,-200
04/06/2004,13.00.00,-200,975,-200
04/06/2004,14.00.00,-200,927,-200
04/06/2004,15.00.00,-200,993,-200
04/06/2004,16.00.00,2,7,1053
04/06/2004,17.00.00,3,6,1116
04/06/2004,18.00.00,3,3,1097
04/06/2004,19.00.00,3,6,1116
04/06/2004,20.00.00,2,9,1057
04/06/2004,21.00.00,1,9,973
04/06/2004,22.00.00,2,1016,-200
04/06/2004,23.00.00,2,9,1120
05/06/2004,00.00.00,2,7,1076
05/06/2004,01.00.00,1,5,937
05/06/2004,02.00.00,1,6,980
05/06/2004,03.00.00,1,3,937
05/06/2004,04.00.00,0,7,852
05/06/2004,05.00.00,0,7,858
05/06/2004,06.00.00,1,2,963
05/06/2004,07.00.00,1,5,966
05/06/2004,08.00.00,1,5,983
05/06/2004,09.00.00,1,6,990
05/06/2004,10.00.00,1,1,891
05/06/2004,11.00.00,1,1,883
05/06/2004,12.00.00,1,4,914
05/06/2004,13.00.00,1,4,896
05/06/2004,14.00.00,1,841,-200
05/06/2004,15.00.00,1,3,926
05/06/2004,16.00.00,1,9,1133
05/06/2004,17.00.00,1,7,1042
05/06/2004,18.00.00,2,3,1124
05/06/2004,19.00.00,2,4,1157
05/06/2004,20.00.00,1,8,989
05/06/2004,21.00.00,0,6,841
05/06/2004,22.00.00,0,8,916
05/06/2004,23.00.00,1,7,1008
06/06/2004,00.00.00,1,1,895
06/06/2004,01.00.00,0,6,810
06/06/2004,02.00.00,1,1,968
06/06/2004,03.00.00,1,1,922
06/06/2004,04.00.00,1,892,-200
06/06/2004,05.00.00,0,5,806
06/06/2004,06.00.00,0,7,827
06/06/2004,07.00.00,1,881,-200
06/06/2004,08.00.00,1,2,877
06/06/2004,09.00.00,0,7,784
06/06/2004,10.00.00,0,9,806
06/06/2004,11.00.00,0,8,775
06/06/2004,12.00.00,0,8,773
06/06/2004,13.00.00,0,5,734
06/06/2004,14.00.00,0,5,757
06/06/2004,15.00.00,0,7,817
06/06/2004,16.00.00,0,9,815
06/06/2004,17.00.00,1,844,-200
06/06/2004,18.00.00,1,2,880
06/06/2004,19.00.00,1,3,906
06/06/2004,20.00.00,1,6,904
06/06/2004,21.00.00,1,4,877
06/06/2004,22.00.00,1,7,918
06/06/2004,23.00.00,1,7,930
07/06/2004,00.00.00,1,4,870
07/06/2004,01.00.00,0,8,793
07/06/2004,02.00.00,0,4,760
07/06/2004,03.00.00,0,3,733
07/06/2004,04.00.00,-200,726,-200
07/06/2004,05.00.00,0,5,732
07/06/2004,06.00.00,1,5,933
07/06/2004,07.00.00,2,6,1061
07/06/2004,08.00.00,4,3,1201
07/06/2004,09.00.00,3,1,1065
07/06/2004,10.00.00,2,9,1075
07/06/2004,11.00.00,2,5,998
07/06/2004,12.00.00,1,9,922
07/06/2004,13.00.00,2,5,1023
07/06/2004,14.00.00,2,5,1039
07/06/2004,15.00.00,2,8,1054
07/06/2004,16.00.00,2,3,1022
07/06/2004,17.00.00,3,3,1082
07/06/2004,18.00.00,2,8,1056
07/06/2004,19.00.00,4,8,1243
07/06/2004,20.00.00,2,5,1029
07/06/2004,21.00.00,2,1004,-200
07/06/2004,22.00.00,1,8,979
07/06/2004,23.00.00,1,7,972
08/06/2004,00.00.00,1,3,942
08/06/2004,01.00.00,0,7,825
08/06/2004,02.00.00,0,5,780
08/06/2004,03.00.00,0,4,746
08/06/2004,04.00.00,0,3,734
08/06/2004,05.00.00,0,5,785
08/06/2004,06.00.00,1,4,946
08/06/2004,07.00.00,3,3,1201
08/06/2004,08.00.00,5,8,1377
08/06/2004,09.00.00,5,1346,-200
08/06/2004,10.00.00,3,5,1230
08/06/2004,11.00.00,2,9,1160
08/06/2004,12.00.00,2,5,1146
08/06/2004,13.00.00,2,3,1078
08/06/2004,14.00.00,2,4,1111
08/06/2004,15.00.00,2,6,1083
08/06/2004,16.00.00,2,2,1056
08/06/2004,17.00.00,3,5,1220
08/06/2004,18.00.00,3,9,1268
08/06/2004,19.00.00,4,5,1256
08/06/2004,20.00.00,3,8,1213
08/06/2004,21.00.00,2,8,1145
08/06/2004,22.00.00,1,7,1050
08/06/2004,23.00.00,1,2,972
09/06/2004,00.00.00,1,6,1020
09/06/2004,01.00.00,1,934,-200
09/06/2004,02.00.00,0,9,914
09/06/2004,03.00.00,0,5,824
09/06/2004,04.00.00,0,5,817
09/06/2004,05.00.00,0,5,833
09/06/2004,06.00.00,1,935,-200
09/06/2004,07.00.00,3,5,1297
09/06/2004,08.00.00,6,4,1496
09/06/2004,09.00.00,2,9,1201
09/06/2004,10.00.00,3,4,1267
09/06/2004,11.00.00,2,8,1224
09/06/2004,12.00.00,2,8,1247
09/06/2004,13.00.00,2,8,1183
09/06/2004,14.00.00,2,3,1078
09/06/2004,15.00.00,1,8,1076
09/06/2004,16.00.00,2,1052,-200
09/06/2004,17.00.00,3,5,1287
09/06/2004,18.00.00,4,9,1460
09/06/2004,19.00.00,4,6,1357
09/06/2004,20.00.00,3,4,1234
09/06/2004,21.00.00,2,7,1151
09/06/2004,22.00.00,1,9,1065
09/06/2004,23.00.00,1,5,984
10/06/2004,00.00.00,1,938,-200
10/06/2004,01.00.00,0,7,878
10/06/2004,02.00.00,1,919,-200
10/06/2004,03.00.00,0,6,836
10/06/2004,04.00.00,-200,814,-200
10/06/2004,05.00.00,0,9,872
10/06/2004,06.00.00,1,2,949
10/06/2004,07.00.00,2,9,1227
10/06/2004,08.00.00,4,8,1360
10/06/2004,09.00.00,4,3,1318
10/06/2004,10.00.00,3,1,1196
10/06/2004,11.00.00,2,4,1152
10/06/2004,12.00.00,2,8,1220
10/06/2004,13.00.00,2,5,1182
10/06/2004,14.00.00,2,6,1167
10/06/2004,15.00.00,2,3,1142
10/06/2004,16.00.00,2,4,1157
10/06/2004,17.00.00,3,5,1274
10/06/2004,18.00.00,4,8,1372
10/06/2004,19.00.00,5,1,1373
10/06/2004,20.00.00,4,7,1290
10/06/2004,21.00.00,2,4,1056
10/06/2004,22.00.00,2,5,1116
10/06/2004,23.00.00,2,7,1106
11/06/2004,00.00.00,1,5,1018
11/06/2004,01.00.00,1,1,919
11/06/2004,02.00.00,0,6,807
11/06/2004,03.00.00,0,5,787
11/06/2004,04.00.00,0,4,789
11/06/2004,05.00.00,0,6,825
11/06/2004,06.00.00,1,912,-200
11/06/2004,07.00.00,4,6,1339
11/06/2004,08.00.00,4,8,1355
11/06/2004,09.00.00,4,1250,-200
11/06/2004,10.00.00,-200,1105,-200
11/06/2004,11.00.00,2,1076,-200
11/06/2004,12.00.00,2,1096,-200
11/06/2004,13.00.00,2,1093,-200
11/06/2004,14.00.00,1,9,1027
11/06/2004,15.00.00,1,9,1026
11/06/2004,16.00.00,1,9,1015
11/06/2004,17.00.00,2,6,1028
11/06/2004,18.00.00,3,2,1074
11/06/2004,19.00.00,3,4,1124
11/06/2004,20.00.00,3,4,1111
11/06/2004,21.00.00,2,9,1062
11/06/2004,22.00.00,2,7,1072
11/06/2004,23.00.00,1,3,936
12/06/2004,00.00.00,1,3,988
12/06/2004,01.00.00,0,9,924
12/06/2004,02.00.00,0,6,839
12/06/2004,03.00.00,0,5,826
12/06/2004,04.00.00,0,5,853
12/06/2004,05.00.00,0,9,918
12/06/2004,06.00.00,0,7,890
12/06/2004,07.00.00,0,6,865
12/06/2004,08.00.00,1,3,1003
12/06/2004,09.00.00,1,9,1123
12/06/2004,10.00.00,2,1,1146
12/06/2004,11.00.00,1,8,1110
12/06/2004,12.00.00,1,8,1126
12/06/2004,13.00.00,1,6,1067
12/06/2004,14.00.00,1,2,1008
12/06/2004,15.00.00,1,2,1062
12/06/2004,16.00.00,1,4,1082
12/06/2004,17.00.00,1,3,1042
12/06/2004,18.00.00,1,1,1022
12/06/2004,19.00.00,1,1,1024
12/06/2004,20.00.00,1,1,1048
12/06/2004,21.00.00,1,8,1153
12/06/2004,22.00.00,2,3,1195
12/06/2004,23.00.00,2,6,1245
13/06/2004,00.00.00,2,1086,-200
13/06/2004,01.00.00,1,972,-200
13/06/2004,02.00.00,0,6,880
13/06/2004,03.00.00,0,6,906
13/06/2004,04.00.00,0,5,879
13/06/2004,05.00.00,0,4,842
13/06/2004,06.00.00,0,4,797
13/06/2004,07.00.00,0,4,796
13/06/2004,08.00.00,0,4,767
13/06/2004,09.00.00,0,5,784
13/06/2004,10.00.00,0,6,811
13/06/2004,11.00.00,0,7,838
13/06/2004,12.00.00,0,7,821
13/06/2004,13.00.00,0,6,793
13/06/2004,14.00.00,0,5,794
13/06/2004,15.00.00,0,6,821
13/06/2004,16.00.00,0,8,849
13/06/2004,17.00.00,0,8,852
13/06/2004,18.00.00,1,847,-200
13/06/2004,19.00.00,1,849,-200
13/06/2004,20.00.00,1,865,-200
13/06/2004,21.00.00,0,9,848
13/06/2004,22.00.00,0,7,807
13/06/2004,23.00.00,0,8,814
14/06/2004,00.00.00,0,7,785
14/06/2004,01.00.00,0,5,748
14/06/2004,02.00.00,0,3,716
14/06/2004,03.00.00,0,3,708
14/06/2004,04.00.00,-200,724,-200
14/06/2004,05.00.00,0,3,748
14/06/2004,06.00.00,0,7,888
14/06/2004,07.00.00,1,5,973
14/06/2004,08.00.00,1,8,993
14/06/2004,09.00.00,1,4,929
14/06/2004,10.00.00,1,5,962
14/06/2004,11.00.00,1,2,906
14/06/2004,12.00.00,1,2,915
14/06/2004,13.00.00,1,3,928
14/06/2004,14.00.00,1,855,-200
14/06/2004,15.00.00,1,4,920
14/06/2004,16.00.00,1,6,917
14/06/2004,17.00.00,2,7,1072
14/06/2004,18.00.00,2,3,1000
14/06/2004,19.00.00,1,5,914
14/06/2004,20.00.00,1,4,888
14/06/2004,21.00.00,1,851,-200
14/06/2004,22.00.00,1,1,870
14/06/2004,23.00.00,1,2,883
15/06/2004,00.00.00,1,2,886
15/06/2004,01.00.00,0,7,792
15/06/2004,02.00.00,0,5,754
15/06/2004,03.00.00,0,4,732
15/06/2004,04.00.00,0,4,770
15/06/2004,05.00.00,0,5,797
15/06/2004,06.00.00,1,915,-200
15/06/2004,07.00.00,4,4,1287
15/06/2004,08.00.00,4,1195,-200
15/06/2004,09.00.00,2,4,1003
15/06/2004,10.00.00,2,1,1037
15/06/2004,11.00.00,2,7,1114
15/06/2004,12.00.00,2,8,1085
15/06/2004,13.00.00,2,3,1024
15/06/2004,14.00.00,2,1017,-200
15/06/2004,15.00.00,2,6,1053
15/06/2004,16.00.00,2,7,1065
15/06/2004,17.00.00,3,1,1136
15/06/2004,18.00.00,3,1,1100
15/06/2004,19.00.00,3,6,1143
15/06/2004,20.00.00,2,9,1083
15/06/2004,21.00.00,2,2,1009
15/06/2004,22.00.00,2,969,-200
15/06/2004,23.00.00,2,1,1029
16/06/2004,00.00.00,1,9,1064
16/06/2004,01.00.00,1,4,986
16/06/2004,02.00.00,0,8,872
16/06/2004,03.00.00,0,6,840
16/06/2004,04.00.00,0,6,812
16/06/2004,05.00.00,0,5,810
16/06/2004,06.00.00,1,936,-200
16/06/2004,07.00.00,2,7,1244
16/06/2004,08.00.00,5,1440,-200
16/06/2004,09.00.00,3,3,1180
16/06/2004,10.00.00,2,4,1126
16/06/2004,11.00.00,1,7,1005
16/06/2004,12.00.00,1,7,1032
16/06/2004,13.00.00,2,4,1087
16/06/2004,14.00.00,2,2,1090
16/06/2004,15.00.00,2,2,1072
16/06/2004,16.00.00,2,3,1101
16/06/2004,17.00.00,2,6,1111
16/06/2004,18.00.00,2,3,1048
16/06/2004,19.00.00,3,3,1197
16/06/2004,20.00.00,3,5,1173
16/06/2004,21.00.00,2,5,1075
16/06/2004,22.00.00,2,5,1067
16/06/2004,23.00.00,2,4,1060
17/06/2004,00.00.00,2,5,1081
17/06/2004,01.00.00,2,1,1017
17/06/2004,02.00.00,1,836,-200
17/06/2004,03.00.00,0,8,831
17/06/2004,04.00.00,-200,804,-200
17/06/2004,05.00.00,0,5,798
17/06/2004,06.00.00,1,3,966
17/06/2004,07.00.00,3,6,1277
17/06/2004,08.00.00,4,8,1335
17/06/2004,09.00.00,3,7,1297
17/06/2004,10.00.00,1,9,1041
17/06/2004,11.00.00,1,7,1027
17/06/2004,12.00.00,1,9,1037
17/06/2004,13.00.00,1,8,1014
17/06/2004,14.00.00,1,7,1007
17/06/2004,15.00.00,1,8,998
17/06/2004,16.00.00,1,7,1014
17/06/2004,17.00.00,2,8,1157
17/06/2004,18.00.00,3,6,1225
17/06/2004,19.00.00,3,3,1131
17/06/2004,20.00.00,2,9,1111
17/06/2004,21.00.00,1,7,976
17/06/2004,22.00.00,1,7,1016
17/06/2004,23.00.00,2,8,1177
18/06/2004,00.00.00,1,8,1013
18/06/2004,01.00.00,1,886,-200
18/06/2004,02.00.00,0,5,791
18/06/2004,03.00.00,0,4,762
18/06/2004,04.00.00,0,3,740
18/06/2004,05.00.00,0,4,775
18/06/2004,06.00.00,0,8,872
18/06/2004,07.00.00,2,2,1123
18/06/2004,08.00.00,4,4,1306
18/06/2004,09.00.00,3,7,1237
18/06/2004,10.00.00,2,5,1143
18/06/2004,11.00.00,2,5,1170
18/06/2004,12.00.00,2,3,1116
18/06/2004,13.00.00,2,1054,-200
18/06/2004,14.00.00,2,1083,-200
18/06/2004,15.00.00,2,1,1078
18/06/2004,16.00.00,2,4,1104
18/06/2004,17.00.00,3,1,1170
18/06/2004,18.00.00,2,9,1091
18/06/2004,19.00.00,3,5,1216
18/06/2004,20.00.00,2,9,1125
18/06/2004,21.00.00,1,5,971
18/06/2004,22.00.00,1,7,1062
18/06/2004,23.00.00,2,2,1140
19/06/2004,00.00.00,1,6,1038
19/06/2004,01.00.00,1,935,-200
19/06/2004,02.00.00,0,6,861
19/06/2004,03.00.00,0,6,839
19/06/2004,04.00.00,0,6,850
19/06/2004,05.00.00,0,5,817
19/06/2004,06.00.00,0,5,825
19/06/2004,07.00.00,0,9,921
19/06/2004,08.00.00,1,4,1031
19/06/2004,09.00.00,1,6,1092
19/06/2004,10.00.00,1,6,1095
19/06/2004,11.00.00,1,7,1097
19/06/2004,12.00.00,1,7,1101
19/06/2004,13.00.00,1,5,1060
19/06/2004,14.00.00,1,2,-200
19/06/2004,15.00.00,1,2,-200
19/06/2004,16.00.00,1,1,-200
19/06/2004,17.00.00,1,-200,-200
19/06/2004,18.00.00,1,1,-200
19/06/2004,19.00.00,1,6,-200
19/06/2004,20.00.00,1,7,-200
19/06/2004,21.00.00,1,4,-200
19/06/2004,22.00.00,1,7,-200
19/06/2004,23.00.00,2,4,-200
20/06/2004,00.00.00,2,3,-200
20/06/2004,01.00.00,1,2,-200
20/06/2004,02.00.00,1,-200,-200
20/06/2004,03.00.00,1,4,-200
20/06/2004,04.00.00,-200,-200,-200
20/06/2004,05.00.00,1,-200,-200
20/06/2004,06.00.00,0,9,-200
20/06/2004,07.00.00,0,8,-200
20/06/2004,08.00.00,1,-200,-200
20/06/2004,09.00.00,1,2,-200
20/06/2004,10.00.00,1,2,-200
20/06/2004,11.00.00,1,-200,-200
20/06/2004,12.00.00,1,-200,-200
20/06/2004,13.00.00,0,6,-200
20/06/2004,14.00.00,0,7,-200
20/06/2004,15.00.00,0,8,-200
20/06/2004,16.00.00,1,1,-200
20/06/2004,17.00.00,1,4,-200
20/06/2004,18.00.00,2,8,-200
20/06/2004,19.00.00,2,5,-200
20/06/2004,20.00.00,1,6,-200
20/06/2004,21.00.00,1,4,-200
20/06/2004,22.00.00,2,3,-200
20/06/2004,23.00.00,4,2,-200
21/06/2004,00.00.00,3,-200,-200
21/06/2004,01.00.00,2,2,-200
21/06/2004,02.00.00,0,6,-200
21/06/2004,03.00.00,0,3,-200
21/06/2004,04.00.00,0,3,732
21/06/2004,05.00.00,0,5,809
21/06/2004,06.00.00,1,3,934
21/06/2004,07.00.00,2,5,1132
21/06/2004,08.00.00,3,7,1221
21/06/2004,09.00.00,2,5,1024
21/06/2004,10.00.00,1,8,938
21/06/2004,11.00.00,1,5,869
21/06/2004,12.00.00,1,5,846
21/06/2004,13.00.00,1,2,838
21/06/2004,14.00.00,1,4,875
21/06/2004,15.00.00,1,6,907
21/06/2004,16.00.00,1,6,889
21/06/2004,17.00.00,2,2,969
21/06/2004,18.00.00,3,1051,-200
21/06/2004,19.00.00,3,1043,-200
21/06/2004,20.00.00,2,7,1043
21/06/2004,21.00.00,2,1,1007
21/06/2004,22.00.00,1,6,966
21/06/2004,23.00.00,1,3,920
22/06/2004,00.00.00,1,1,889
22/06/2004,01.00.00,0,7,825
22/06/2004,02.00.00,0,4,758
22/06/2004,03.00.00,0,2,735
22/06/2004,04.00.00,0,2,719
22/06/2004,05.00.00,0,3,757
22/06/2004,06.00.00,0,9,890
22/06/2004,07.00.00,3,1,1181
22/06/2004,08.00.00,5,1332,-200
22/06/2004,09.00.00,2,8,1128
22/06/2004,10.00.00,2,8,1128
22/06/2004,11.00.00,2,1,1064
22/06/2004,12.00.00,3,1,1139
22/06/2004,13.00.00,3,1121,-200
22/06/2004,14.00.00,2,1,1032
22/06/2004,15.00.00,1,7,1040
22/06/2004,16.00.00,2,2,1076
22/06/2004,17.00.00,3,5,1177
22/06/2004,18.00.00,3,6,1196
22/06/2004,19.00.00,4,1,1204
22/06/2004,20.00.00,4,1166,-200
22/06/2004,21.00.00,1,8,959
22/06/2004,22.00.00,1,7,1004
22/06/2004,23.00.00,2,4,1050
23/06/2004,00.00.00,1,2,965
23/06/2004,01.00.00,0,8,849
23/06/2004,02.00.00,0,5,809
23/06/2004,03.00.00,0,3,777
23/06/2004,04.00.00,-200,768,-200
23/06/2004,05.00.00,0,4,768
23/06/2004,06.00.00,1,917,-200
23/06/2004,07.00.00,3,8,1252
23/06/2004,08.00.00,3,2,1224
23/06/2004,09.00.00,3,5,1277
23/06/2004,10.00.00,3,2,1149
23/06/2004,11.00.00,2,3,1091
23/06/2004,12.00.00,2,2,1053
23/06/2004,13.00.00,2,1,1023
23/06/2004,14.00.00,1,9,1085
23/06/2004,15.00.00,2,4,1116
23/06/2004,16.00.00,2,5,1111
23/06/2004,17.00.00,3,6,1210
23/06/2004,18.00.00,3,9,1250
23/06/2004,19.00.00,4,4,1297
23/06/2004,20.00.00,4,8,1313
23/06/2004,21.00.00,2,5,1146
23/06/2004,22.00.00,2,8,1199
23/06/2004,23.00.00,3,2,1274
24/06/2004,00.00.00,2,6,1243
24/06/2004,01.00.00,1,5,1054
24/06/2004,02.00.00,1,962,-200
24/06/2004,03.00.00,0,8,915
24/06/2004,04.00.00,0,6,871
24/06/2004,05.00.00,0,6,877
24/06/2004,06.00.00,0,7,893
24/06/2004,07.00.00,1,2,1030
24/06/2004,08.00.00,1,5,1059
24/06/2004,09.00.00,1,3,1020
24/06/2004,10.00.00,1,6,1045
24/06/2004,11.00.00,1,5,1029
24/06/2004,12.00.00,1,2,959
24/06/2004,13.00.00,1,1,975
